Date,Area,Location,Activity,Incident Type,Fatal?,Address
21-Jun-08,California,"West Cove, Catalina Island",Kayaking,Unprovoked,Non-fatal,"West Cove, Catalina Island,California,USA"
26-Jun-08,South Carolina,"Isle of Palms, Charleston County",Swimming,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
26-Jun-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
26-Jun-08,North Carolina,"North Topsail Beach, Onslow County",Playing in the water,Unprovoked,Non-fatal,"North Topsail Beach, Onslow County,North Carolina,USA"
1-Sep-16,California,"Refugio State Beach, Santa Barbara County",Spearfishing,Unprovoked,Non-fatal,"Refugio State Beach, Santa Barbara County,California,USA"
9-Jul-08,North Carolina,"Emerald Isle, Carteret County",Swimming,Unprovoked,Non-fatal,"Emerald Isle, Carteret County,North Carolina,USA"
11-Jul-08,South Carolina,"Isle of Palms, Charleston County",Surfing,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
19-Jul-08,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
24-Jul-08,North Carolina,"Topsail Island, Pender County",Wading,Unprovoked,Non-fatal,"Topsail Island, Pender County,North Carolina,USA"
24-Jul-08,North Carolina,"Surf City, Topsail Island, Pender County",Wading,Unprovoked,Non-fatal,"Surf City, Topsail Island, Pender County,North Carolina,USA"
25-Jul-08,Hawaii,"Lahilahi Point, Oahu",Snorkeling,Unprovoked,Non-fatal,"Lahilahi Point, Oahu,Hawaii,USA"
25-Jul-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
26-Jul-08,Hawaii,"Honokowai, Maui",Swimming,Unprovoked,Non-fatal,"Honokowai, Maui,Hawaii,USA"
11-Aug-08,Hawaii,"Money Beach, Gulf County",Diving,Unprovoked,Non-fatal,"Money Beach, Gulf County,Hawaii,USA"
12-Aug-08,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
16-Aug-08,U.S. Virgin Islands,Buck Island,Swimming,Unprovoked,Non-fatal,"Buck Island,U.S. Virgin Islands,USA"
20-Aug-08,Florida,"Sanibel Island, Lee County",Swimming,Unprovoked,Non-fatal,"Sanibel Island, Lee County,Florida,USA"
24-Aug-08,Florida,"New Smyrna Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
27-Aug-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
28-Aug-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
1-Sep-08,Florida,"Hutchinson Island, St. Lucie County",Surfing,Unprovoked,Non-fatal,"Hutchinson Island, St. Lucie County,Florida,USA"
1-Sep-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
6-Sep-08,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
6-Sep-08,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
8-Sep-08,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,Unprovoked,Non-fatal,"Surf Beach, Lompoc, Santa Barbara County,California,USA"
9-Sep-08,Hawaii,"Ka'a'awa, Oahu",Surfing,Unprovoked,Non-fatal,"Ka'a'awa, Oahu,Hawaii,USA"
14-Sep-08,Florida,"Ormond Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"Ormond Beach, Volusia County,Florida,USA"
28-Sep-08,Florida,"Bethune Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Bethune Beach, Volusia County,Florida,USA"
28-Sep-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
8-Oct-08,Florida,"Santa Rosa Beach, Walton County",Fishing,Unprovoked,Non-fatal,"Santa Rosa Beach, Walton County,Florida,USA"
20-Dec-08,California,"Dillon Beach, Marin County",Kayaking,Unprovoked,Non-fatal,"Dillon Beach, Marin County,California,USA"
1-Jan-09,South Carolina,Charleston,Swimming,Unprovoked,Non-fatal,"Charleston,South Carolina,USA"
18-May-16,Florida,"Ponte Vedra Beach, St Johns County",Swimming,Unprovoked,Non-fatal,"Ponte Vedra Beach, St Johns County,Florida,USA"
18-Mar-09,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
3-Apr-09,Florida,"Sanibel Island, Lee County",Wading,Unprovoked,Non-fatal,"Sanibel Island, Lee County,Florida,USA"
6-Apr-09,California,San Diego County,Spearfishing,Unprovoked,Non-fatal,"San Diego County,California,USA"
17-Apr-09,Florida,"Walton Rocks, St Lucie County",Surfing,Unprovoked,Non-fatal,"Walton Rocks, St Lucie County,Florida,USA"
19-Apr-09,Florida,"Jupiter Beach, Palm Beach County",Surfing,Unprovoked,Non-fatal,"Jupiter Beach, Palm Beach County,Florida,USA"
21-Apr-09,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
25-Apr-09,California,"San Onofre State Beach, San Diego County",Surfing,Unprovoked,Non-fatal,"San Onofre State Beach, San Diego County,California,USA"
4-Sep-16,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
16-May-09,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
16-May-09,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
17-May-09,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
5-Jul-09,Florida,"Daytona Beach, Volusia County",Boogie Boarding,Unprovoked,Non-fatal,"Daytona Beach, Volusia County,Florida,USA"
11-Jul-09,California,"San Onofre State Beach, San Diego County",Paddle boarding,Unprovoked,Non-fatal,"San Onofre State Beach, San Diego County,California,USA"
22-Jul-09,Florida,"Intracoastal Waterway, St. Petersburg",Swimming,Unprovoked,Non-fatal,"Intracoastal Waterway, St. Petersburg,Florida,USA"
22-Jul-09,North Carolina,Holden Beach. Brunswick County,Swimming,Unprovoked,Non-fatal,"Holden Beach. Brunswick County,North Carolina,USA"
24-Jul-09,Texas,South Padre Island,Wading,Unprovoked,Non-fatal,"South Padre Island,Texas,USA"
1-Aug-09,Louisiana,"Curlew Island, Breton Sound",Fishing,Unprovoked,Non-fatal,"Curlew Island, Breton Sound,Louisiana,USA"
21-May-16,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,Unprovoked,Non-fatal,"Hugenot Beach , Jacksonville, Duval County,Florida,USA"
10-Aug-09,Florida,"Ponte Vedra Beach, St Johns County",Swimming,Unprovoked,Non-fatal,"Ponte Vedra Beach, St Johns County,Florida,USA"
25-Aug-09,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,Unprovoked,Non-fatal,"Terramar Beach, Carlsbad, San Diego County,California,USA"
30-Aug-09,California,"Huntington Beach, Orange County",Surfing,Unprovoked,Non-fatal,"Huntington Beach, Orange County,California,USA"
26-Sep-09,Florida,"Key Colony Beach, Monroe County",Swimming,Unprovoked,Non-fatal,"Key Colony Beach, Monroe County,Florida,USA"
9-Oct-09,California,"San Onofre State Beach, San Diego County",Surfing,Unprovoked,Non-fatal,"San Onofre State Beach, San Diego County,California,USA"
19-Oct-09,Hawaii,"Kalama Park, Maui",Surfing,Unprovoked,Non-fatal,"Kalama Park, Maui,Hawaii,USA"
24-Oct-09,California,"San Onofre State Beach, San Diego County",Surfing,Unprovoked,Non-fatal,"San Onofre State Beach, San Diego County,California,USA"
5-Nov-09,California,"Davenport, Santa Cruz County",Surfing,Unprovoked,Non-fatal,"Davenport, Santa Cruz County,California,USA"
11-Nov-09,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
13-Nov-09,Florida,"Jupiter Beach, Palm Beach County",Surfing,Unprovoked,Non-fatal,"Jupiter Beach, Palm Beach County,Florida,USA"
16-Nov-09,Florida,"Jupiter Beach, Palm Beach County",Surfing,Unprovoked,Non-fatal,"Jupiter Beach, Palm Beach County,Florida,USA"
16-Nov-09,California,"Loch Lomond, Marin County",Fishing,Unprovoked,Non-fatal,"Loch Lomond, Marin County,California,USA"
24-Nov-09,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,Unprovoked,Non-fatal,"Lori Wilson Park, Cocoa Beach, Brevard County,Florida,USA"
6-Jan-10,Florida,"Florida Keys, Monroe County",Spearfishing,Unprovoked,Non-fatal,"Florida Keys, Monroe County,Florida,USA"
3-Feb-10,Florida,"Stuart, Martin County",Kite Surfing,Unprovoked,Fatal,"Stuart, Martin County,Florida,USA"
19-Apr-10,Hawaii,"Hanalei Bay, Kauai",Surfing,Unprovoked,Non-fatal,"Hanalei Bay, Kauai,Hawaii,USA"
1-May-10,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
